folder,hr_size,lr_size,zoom_ratio,teacher_hr,teacher_lr,student_2x_lr,student_4x_lr
0,1280x896,574x427,2.23,91.0,89.7,123.4,130.1
1,3200x2432,1604x1329,2.0,126.5,104.1,177.3,198.4
2,3200x2432,1084x805,2.95,126.5,132.4,208.3,232.2
3,2560x1920,996x798,2.57,597.1,594.4,771.6,927.1
4,5632x4224,2469x2011,2.28,852.6,732.0,1138.1,1267.3
5,3840x2560,1850x1266,2.08,189.7,215.6,364.6,467.6
6,3840x2688,2021x1389,1.9,493.2,218.0,473.2,707.3
7,3840x2688,1739x1314,2.21,430.4,326.5,580.7,781.6
8,5888x3968,2987x2075,1.97,106.2,89.5,171.3,196.8
9,5888x3968,2355x1593,2.5,55.8,45.8,86.6,89.6
10,5888x3968,1771x1200,3.32,25.0,21.5,53.6,57.0
11,4736x3072,1128x733,4.2,183.5,77.4,129.3,155.1
12,4736x3072,1138x705,4.16,140.0,59.5,99.0,126.8
13,4608x3072,2096x1459,2.2,256.0,291.4,501.3,568.0
14,2432x3712,698x1001,3.48,54.0,47.7,78.2,90.2
15,2304x1536,675x423,3.41,24.9,24.7,36.1,51.3
16,5888x3328,2392x1496,2.46,119.3,135.1,217.1,289.3
17,4608x3456,1307x968,3.53,31.2,13.4,17.0,17.9
18,4736x2944,1336x837,3.54,1039.4,709.4,1056.4,1109.2
19,1536x1152,492x380,3.12,122.6,114.4,142.4,144.6
20,5760x3840,1261x866,4.57,83.3,44.0,67.0,91.0
21,3968x2176,2191x1210,1.81,295.4,239.9,398.4,477.7
22,5888x3968,2105x1401,2.8,441.1,371.0,756.6,873.7
23,3200x2432,693x921,4.62,119.2,27.7,39.8,29.4
24,3840x2560,1376x949,2.79,434.4,365.4,648.4,723.9
25,1152x896,405x328,2.84,76.1,65.7,84.5,74.4
26,3968x2944,1197x905,3.31,490.1,167.6,335.7,140.3
27,2048x1536,728x549,2.81,78.7,35.6,52.7,85.0
28,6656x4480,2892x2092,2.3,245.9,390.2,737.2,821.2
29,6656x4480,2438x1650,2.73,988.8,953.1,1446.0,1191.5
30,6656x4480,3197x2170,2.08,1121.9,1045.3,1727.7,1519.3
31,3456x5120,1249x1835,2.77,316.4,166.5,337.5,374.1
32,3456x5120,1171x1861,2.95,387.6,205.2,393.1,682.6
33,3456x5120,1192x1828,2.9,322.8,168.8,329.1,508.8
34,4992x2816,1644x944,3.04,157.9,143.1,285.1,381.7
35,1536x1024,747x494,2.06,37.8,26.7,45.4,68.8
36,4608x3456,1243x928,3.71,12.4,15.2,31.4,37.5
37,4224x2816,2155x1576,1.96,437.6,392.8,818.0,840.2
38,4224x2816,2087x1528,2.02,672.7,524.9,1026.5,945.2
39,4992x3328,2597x1722,1.92,1009.8,862.9,1455.8,1022.2
40,3840x2304,1807x1124,2.13,46.3,41.7,67.6,90.8
41,4480x2560,1979x1149,2.26,164.2,181.7,347.9,409.3
42,6016x3968,3077x2049,1.96,242.4,217.2,424.0,514.8
43,3968x2560,976x628,4.07,61.2,55.2,77.6,77.5
44,2560x1920,1092x847,2.34,486.7,440.3,672.9,780.9
45,2560x1920,1037x752,2.47,174.4,174.6,272.3,359.2
46,2560x1920,789x617,3.24,486.7,374.8,521.9,617.6
47,3968x2560,807x522,4.92,448.4,358.1,463.7,456.0
48,3968x2560,1658x1070,2.39,331.2,298.8,422.1,446.8
49,3584x2048,1304x736,2.75,225.2,177.8,281.6,313.6
50,3968x2944,1569x1170,2.53,1048.4,786.2,1384.9,1029.5
51,3968x2944,1515x1143,2.62,989.6,167.2,400.3,379.0
52,3968x2944,2053x1580,1.93,797.7,649.9,1057.4,832.9
53,3968x2944,862x646,4.6,2787.2,326.8,540.3,2710.1
54,3968x2944,2282x1696,1.74,1423.0,1374.0,2426.5,2077.4
55,3968x2944,2313x1717,1.72,1711.8,1702.8,3116.4,2629.7
56,3968x3072,1977x1768,2.01,420.1,333.3,664.8,728.1
57,3968x2944,1089x800,3.64,95.8,99.8,207.4,84.8
58,3968x2944,2123x1579,1.87,109.1,133.9,187.1,202.3
59,3968x2944,3352x2429,1.18,190.6,169.8,289.2,301.0
60,8455x5637,1121x709,7.54,8204.2,4442.7,3584.2,1877.5
