image,orig_height,orig_width,eval_height,eval_width,orig_megapixels,eval_megapixels,downscale_factor,gt_count,pred_count,signed_error,abs_error,orig_pixels_per_person,eval_pixels_per_person
125.jpg,3072,2464,1536,1232,7.569408,1.892352,2.0,12924,7007.326171875,-5916.673828125,5916.673828125,585.686165273909,146.42154131847724
244.jpg,1856,3072,928,1536,5.701632,1.425408,2.0,7122,5716.35693359375,-1405.64306640625,1405.64306640625,800.5661331086774,200.14153327716934
299.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,9728,8843.0556640625,-884.9443359375,884.9443359375,646.7368421052631,161.68421052631578
266.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,2947,2183.65185546875,-763.34814453125,763.34814453125,2134.8680013573126,533.7170003393281
140.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,993,379.5727844238281,-613.4272155761719,613.4272155761719,6335.80664652568,1583.95166163142
037.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,5951,5376.83837890625,-574.16162109375,574.16162109375,1057.2098806923207,264.30247017308017
478.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,6799,6319.9150390625,-479.0849609375,479.0849609375,925.3501985586115,231.33754963965288
257.jpg,2304,3072,1152,1536,7.077888,1.769472,2.0,1713,1245.8653564453125,-467.1346435546875,467.1346435546875,4131.866900175131,1032.9667250437828
194.jpg,1920,2560,960,1280,4.9152,1.2288,2.0,1357,1751.317138671875,394.317138671875,394.317138671875,3622.10759027266,905.526897568165
064.jpg,672,3072,336,1536,2.064384,0.516096,2.0,981,596.5797119140625,-384.4202880859375,384.4202880859375,2104.3669724770643,526.0917431192661
164.jpg,1824,3072,912,1536,5.603328,1.400832,2.0,2535,2192.508056640625,-342.491943359375,342.491943359375,2210.3857988165682,552.5964497041421
052.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,3588,3268.1337890625,-319.8662109375,319.8662109375,1753.4715719063545,438.3678929765886
362.jpg,1952,3008,976,1504,5.871616,1.467904,2.0,814,1131.704833984375,317.704833984375,317.704833984375,7213.287469287469,1803.3218673218673
416.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,2670,2364.912353515625,-305.087646484375,305.087646484375,2356.350561797753,589.0876404494383
120.jpg,2304,3072,1152,1536,7.077888,1.769472,2.0,894,1189.280029296875,295.280029296875,295.280029296875,7917.10067114094,1979.275167785235
202.jpg,1632,3072,816,1536,5.013504,1.253376,2.0,221,503.16387939453125,282.16387939453125,282.16387939453125,22685.53846153846,5671.384615384615
108.jpg,1856,3008,928,1504,5.582848,1.395712,2.0,805,1070.183349609375,265.183349609375,265.183349609375,6935.214906832298,1733.8037267080745
477.jpg,2304,3072,1152,1536,7.077888,1.769472,2.0,1581,1343.7220458984375,-237.2779541015625,237.2779541015625,4476.842504743833,1119.2106261859583
095.jpg,2304,3072,1152,1536,7.077888,1.769472,2.0,888,671.8138427734375,-216.1861572265625,216.1861572265625,7970.594594594595,1992.6486486486488
413.jpg,1280,1952,640,976,2.49856,0.62464,2.0,541,754.2747802734375,213.2747802734375,213.2747802734375,4618.410351201479,1154.6025878003697
036.jpg,1088,1440,544,720,1.56672,0.39168,2.0,357,559.6046142578125,202.6046142578125,202.6046142578125,4388.571428571428,1097.142857142857
152.jpg,1088,1632,544,816,1.775616,0.443904,2.0,373,574.2703857421875,201.2703857421875,201.2703857421875,4760.364611260054,1190.0911528150134
418.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,765,563.8120727539062,-201.18792724609375,201.18792724609375,8224.125490196078,2056.0313725490196
228.jpg,1536,3072,768,1536,4.718592,1.179648,2.0,1710,1511.045166015625,-198.954833984375,198.954833984375,2759.4105263157894,689.8526315789474
351.jpg,1184,2048,592,1024,2.424832,0.606208,2.0,722,528.1931762695312,-193.80682373046875,193.80682373046875,3358.493074792244,839.623268698061
195.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,622,428.73626708984375,-193.26373291015625,193.26373291015625,10114.881028938908,2528.720257234727
017.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,2167,1976.83837890625,-190.16162109375,190.16162109375,2903.3022611905863,725.8255652976466
071.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,1977,2165.407958984375,188.407958984375,188.407958984375,3182.3247344461306,795.5811836115327
224.jpg,1472,2496,736,1248,3.674112,0.918528,2.0,384,204.10166931152344,-179.89833068847656,179.89833068847656,9568.0,2392.0
067.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,1505,1336.0126953125,-168.9873046875,168.9873046875,4180.369435215946,1045.0923588039866
155.jpg,1088,1920,544,960,2.08896,0.52224,2.0,576,420.96368408203125,-155.03631591796875,155.03631591796875,3626.6666666666665,906.6666666666666
212.jpg,1248,1920,624,960,2.39616,0.59904,2.0,1088,934.630126953125,-153.369873046875,153.369873046875,2202.3529411764707,550.5882352941177
008.jpg,1632,2176,816,1088,3.551232,0.887808,2.0,440,287.6875305175781,-152.31246948242188,152.31246948242188,8070.981818181818,2017.7454545454545
085.jpg,2112,3072,1056,1536,6.488064,1.622016,2.0,3583,3435.88525390625,-147.11474609375,147.11474609375,1810.7909572983533,452.6977393245883
263.jpg,1216,1856,608,928,2.256896,0.564224,2.0,508,363.2823486328125,-144.7176513671875,144.7176513671875,4442.708661417323,1110.6771653543308
239.jpg,1824,2816,912,1408,5.136384,1.284096,2.0,0,142.46302795410156,142.46302795410156,142.46302795410156,5136384.0,1284096.0
415.jpg,2048,3072,1024,1536,6.291456,1.572864,2.0,592,454.65472412109375,-137.34527587890625,137.34527587890625,10627.45945945946,2656.864864864865
487.jpg,1088,1920,544,960,2.08896,0.52224,2.0,538,415.9288024902344,-122.07119750976562,122.07119750976562,3882.825278810409,970.7063197026023
185.jpg,1376,1856,688,928,2.553856,0.638464,2.0,371,492.53448486328125,121.53448486328125,121.53448486328125,6883.708894878706,1720.9272237196765
214.jpg,1088,1920,544,960,2.08896,0.52224,2.0,1186,1305.2705078125,119.2705078125,119.2705078125,1761.3490725126476,440.3372681281619
240.jpg,1248,1984,624,992,2.476032,0.619008,2.0,786,667.7108154296875,-118.2891845703125,118.2891845703125,3150.1679389312976,787.5419847328244
421.jpg,1696,2496,848,1248,4.233216,1.058304,2.0,1479,1593.9552001953125,114.9552001953125,114.9552001953125,2862.215010141988,715.553752535497
